,situacao-habitacional,distrito,concelho,area-util,tipo-casa,tipologia,ano_nascimento_interval,nacionalidade_pt,rendimento-anual,num-pessoas-nao-dependentes,num-pessoas-dependentes,situacao-profissional,educacao,satisfacao,percentagem-renda-paga,valor-mensal-renda,ano-inicio-arrendamento,rendimento-arrendamento,estrategia-arrendamento,insatisfacao-motivos,valor-compra,ano-compra,estado-conservacao,estrategia-compra,rendimento-liquido-anual-individual-na-compra,rendimento-liquido-anual-conjunto-na-compra,ano-heranca-aquisicao,rendimento-liquido-anual-individual-na-aquisicao,rendimento-heranca-conjunto,estado-conservacao-heranca
11,['arrendo'],porto,porto,201-400,['apartamento'],['T3'],"[1995, 2000)",portuguesa,7001-12000,3,0,['empregado-tempo-inteiro'],estudo-superior,['indiferente'],25,300.0,2022.0,<7001,"['apoio-familiar-inicio', 'sem-ajuda']","['vivo-longe', 'habitacao-mau-estado', 'pago-demasiado', 'dificuldades-financeiras', 'partilho-casa-com-desconhecidos', 'outro']",,,,,,,,,,
12,['arrendo'],coimbra,coimbra,21-40,['apartamento'],['T1'],"[1990, 1995)",portuguesa,20001-35000,1,0,['empregado-tempo-inteiro'],mestrado,['satisfeito'],50,187.0,2017.0,7001-12000,['sem-ajuda'],"['falta-espaco', 'habitacao-mau-estado']",,,,,,,,,,
13,['arrendo'],porto,porto,41-60,['apartamento'],['T3'],"[2000, 2005)",portuguesa,7001-12000,0,0,"['empregado-tempo-inteiro', 'estudante-tempo-integral']",licenciatura,['satisfeito'],30,325.0,2023.0,7001-12000,['apoio-familiar-inicio'],"['quero-independecia', 'vivo-longe']",,,,,,,,,,
14,['outrem'],porto,porto,21-40,['moradia'],['T1'],"[1980, 1985)",portuguesa,7001-12000,1,1,['contrato-temporario'],mestrado,['muito-insatisfeito'],,,,,,"['habitacao-mau-estado', 'falta-espaco', 'vivo-zona-insegura']",,,,,,,,,,
15,['arrendo'],lisboa,lisboa,21-40,['apartamento'],['T4+'],"[1995, 2000)",portuguesa,20001-35000,3,0,['empregado-tempo-inteiro'],licenciatura,['insatisfeito'],30,380.0,2022.0,12001-20000,['sem-ajuda'],"['partilho-casa-com-desconhecidos', 'pago-demasiado']",,,,,,,,,,
16,['arrendo'],porto,porto,81-100,['apartamento'],['T2'],"[1995, 2000)",portuguesa,12001-20000,1,0,['empregado-tempo-inteiro'],mestrado,['satisfeito'],50,390.0,2022.0,12001-20000,['sem-ajuda'],['dificuldades-financeiras'],,,,,,,,,,
17,['arrendo'],lisboa,lisboa,41-60,['apartamento'],['T2'],"[1995, 2000)",portuguesa,20001-35000,1,0,['empregado-tempo-inteiro'],mestrado,['satisfeito'],80,640.0,2021.0,12001-20000,"['apoio-familiar-inicio', 'apoio-familiar-actualmente']",['pago-demasiado'],,,,,,,,,,
18,['comprei'],lisboa,lisboa,81-100,['apartamento'],['T2'],"[1980, 1985)",portuguesa,>80001,1,1,['empregado-tempo-inteiro'],mestrado,['satisfeito'],,,,,,['outro'],200000.0,2018.0,execelente,['emprestimo'],50001-80000,,,,,
19,['arrendo'],lisboa,oeiras,21-40,['apartamento'],['T1'],"[1995, 2000)",portuguesa,12001-20000,0,0,['empregado-tempo-inteiro'],mestrado,['satisfeito'],100,600.0,2023.0,12001-20000,['apoio-social'],['falta-espaco'],,,,,,,,,,
20,['outrem'],lisboa,mafra,201-400,['moradia'],['T4+'],"[1995, 2000)",portuguesa,12001-20000,2,3,['empregado-tempo-inteiro'],mestrado,['insatisfeito'],,,,,,"['vivo-longe', 'quero-independecia']",,,,,,,,,,
21,['outrem'],lisboa,sintra,61-80,['apartamento'],['T2'],"[1995, 2000)",portuguesa,12001-20000,2,0,['empregado-tempo-inteiro'],mestrado,['indiferente'],,,,,,"['financeiramente-dependente', 'quero-independecia']",,,,,,,,,,
22,['comprei'],lisboa,lisboa,41-60,['apartamento'],['T1'],"[1995, 2000)",portuguesa,20001-35000,1,0,['empregado-tempo-inteiro'],mestrado,['muito-insatisfeito'],,,,,,"['falta-espaco', 'habitacao-mau-estado']",150000.0,2021.0,mau,['emprestimo'],20001-35000,,,,,
23,['arrendo'],lisboa,lisboa,61-80,['apartamento'],['T3'],"[1990, 1995)",portuguesa,12001-20000,2,0,['empregado-tempo-inteiro'],mestrado,['satisfeito'],35,412.0,2021.0,7001-12000,['sem-ajuda'],"['pago-demasiado', 'quero-independecia']",,,,,,,,,,
24,['outrem'],lisboa,oeiras,61-80,['apartamento'],['T3'],"[2000, 2005)",portuguesa,<7001,2,1,"['empregado-tempo-parcial', 'estudante-tempo-parcial']",licenciatura,['satisfeito'],,,,,,['vivo-longe'],,,,,,,,,,
25,['arrendo'],lisboa,lisboa,61-80,['apartamento'],['T2'],"[1990, 1995)",portuguesa,20001-35000,1,0,['empregado-tempo-inteiro'],mestrado,['indiferente'],50,260.0,2019.0,20001-35000,['sem-ajuda'],"['vivo-longe', 'habitacao-mau-estado', 'outro']",,,,,,,,,,
26,['comprei'],lisboa,lisboa,81-100,['apartamento'],['T2'],"[1990, 1995)",portuguesa,50001-80000,1,0,['empregado-tempo-inteiro'],mestrado,['muito-satisfeito'],,,,,,,300000.0,2021.0,execelente,"['emprestimo', 'apoio-familiar', 'trabalho-estrangeiro']",50001-80000,,,,,
27,['outrem'],aveiro,espinho,201-400,['moradia'],['T4+'],"[1995, 2000)",portuguesa,<7001,2,1,['estudante-tempo-integral'],licenciatura,['muito-satisfeito'],,,,,,,,,,,,,,,,
28,['comprei'],porto,vila nova de gaia,61-80,['apartamento'],['T2'],"[1995, 2000)",portuguesa,7001-12000,0,1,['empregado-tempo-inteiro'],licenciatura,['muito-satisfeito'],,,,,,,157000.0,2024.0,medio,['emprestimo'],7001-12000,,,,,
29,['comprei'],lisboa,oeiras,101-200,['apartamento'],['T2'],"[1990, 1995)",portuguesa,35001-50000,1,2,"['empregado-tempo-inteiro', 'licenca']",mestrado,['muito-satisfeito'],,,,,,,270000.0,2020.0,bom,"['emprestimo', 'apoio-familiar', 'sem-ajuda']",20001-35000,,,,,
30,['outrem'],aveiro,águeda,>400,['moradia'],['T0'],"[2020, 2025)",nao_portuguesa,sem-rendimento,20,20,['desempregada'],doutoramento,['muito-insatisfeito'],,,,,,"['quero-independecia', 'vivo-zona-insegura', 'partilho-casa-com-desconhecidos', 'vivo-longe-de-transportes', 'financeiramente-dependente', 'dificuldades-financeiras', 'pago-demasiado', 'falta-espaco', 'habitacao-mau-estado', 'vivo-longe', 'outro']",,,,,,,,,,
31,['outrem'],porto,porto,101-200,['apartamento'],['T4+'],"[1985, 1990)",portuguesa,20001-35000,2,0,['empregado-tempo-inteiro'],mestrado,['muito-insatisfeito'],,,,,,"['financeiramente-dependente', 'quero-independecia']",,,,,,,,,,
32,['comprei'],porto,vila nova de gaia,61-80,['apartamento'],['T2'],"[1995, 2000)",portuguesa,20001-35000,2,0,['empregado-tempo-inteiro'],secundario,['satisfeito'],,,,,,['outro'],157000.0,2024.0,bom,"['emprestimo', 'conjunto']",20001-35000,20001-35000,,,,
33,['arrendo'],lisboa,lisboa,41-60,['apartamento'],['T1'],"[1995, 2000)",portuguesa,20001-35000,1,0,['empregado-tempo-inteiro'],licenciatura,['satisfeito'],50,380.0,2022.0,12001-20000,['sem-ajuda'],"['falta-espaco', 'pago-demasiado', 'outro']",,,,,,,,,,
34,['arrendo'],lisboa,lisboa,61-80,['apartamento'],['T3'],"[1995, 2000)",nao_portuguesa,35001-50000,2,0,['empregado-tempo-inteiro'],mestrado,['insatisfeito'],35,420.0,2021.0,20001-35000,['sem-ajuda'],"['habitacao-mau-estado', 'falta-espaco', 'quero-independecia']",,,,,,,,,,
35,['comprei'],porto,marco de canaveses,>400,['moradia'],['T3'],"[1970, 1975)",portuguesa,35001-50000,1,1,['empregado-tempo-inteiro'],mestrado,['satisfeito'],,,,,,['pago-demasiado'],250000.0,2010.0,raiz,['emprestimo'],20001-35000,,,,,
36,['arrendo'],lisboa,lisboa,61-80,['apartamento'],['T1'],"[1990, 1995)",portuguesa,35001-50000,1,0,['independente'],mestrado,['muito-satisfeito'],100,630.0,2020.0,<7001,['outra'],,,,,,,,,,,
37,['comprei'],lisboa,loures,101-200,['moradia'],['T4+'],"[1985, 1990)",portuguesa,35001-50000,1,2,['empregado-tempo-inteiro'],mestrado,['muito-satisfeito'],,,,,,,187500.0,2014.0,mau,"['emprestimo', 'conjunto', 'arrendar-parte-habitacao']",20001-35000,50001-80000,,,,
38,['comprei'],lisboa,lisboa,101-200,['apartamento'],['T3'],"[1970, 1975)",portuguesa,50001-80000,1,2,['empregado-tempo-inteiro'],mestrado,['satisfeito'],,,,,,['outro'],310000.0,2022.0,raiz,['emprestimo'],50001-80000,,,,,
39,['outrem'],lisboa,cascais,101-200,['apartamento'],['T3'],"[1995, 2000)",portuguesa,20001-35000,3,0,['empregado-tempo-inteiro'],mestrado,['satisfeito'],,,,,,['quero-independecia'],,,,,,,,,,
40,['comprei'],setúbal,palmela,101-200,['apartamento'],['T4+'],"[1975, 1980)",portuguesa,12001-20000,1,2,['empregado-tempo-inteiro'],estudo-superior,['muito-satisfeito'],,,,,,,142000.0,2003.0,recem-construido,['emprestimo'],7001-12000,,,,,
41,['arrendo'],porto,vila nova de gaia,41-60,['apartamento'],['T3'],"[1995, 2000)",portuguesa,20001-35000,1,0,['empregado-tempo-inteiro'],mestrado,['satisfeito'],50,250.0,2022.0,12001-20000,['sem-ajuda'],['partilho-casa-com-desconhecidos'],,,,,,,,,,
42,['comprei'],lisboa,sintra,>400,['moradia'],['T4+'],"[1990, 1995)",portuguesa,20001-35000,1,1,"['empregado-tempo-inteiro', 'licenca']",mestrado,['satisfeito'],,,,,,"['pago-demasiado', 'dificuldades-financeiras', 'vivo-longe']",400000.0,2022.0,bom,"['emprestimo', 'conjunto']",12001-20000,35001-50000,,,,
43,['comprei'],porto,porto,101-200,['moradia'],['T3'],"[1990, 1995)",portuguesa,35001-50000,1,0,['independente'],mestrado,['satisfeito'],,,,,,['outro'],173000.0,2020.0,recem-construido,"['emprestimo', 'conjunto', 'apoio-familiar']",20001-35000,35001-50000,,,,
44,['arrendo'],lisboa,amadora,41-60,['apartamento'],['T1'],"[1980, 1985)",portuguesa,20001-35000,0,2,"['empregado-tempo-inteiro', 'licenca']",doutoramento,['indiferente'],100,600.0,2024.0,20001-35000,['apoio-familiar-actualmente'],"['pago-demasiado', 'dificuldades-financeiras']",,,,,,,,,,
45,['arrendo'],porto,matosinhos,21-40,['apartamento'],['T1'],"[1995, 2000)",portuguesa,20001-35000,0,1,['empregado-tempo-inteiro'],mestrado,['indiferente'],65,300.0,2022.0,20001-35000,['sem-ajuda'],"['quero-independecia', 'dificuldades-financeiras', 'falta-espaco']",,,,,,,,,,
46,['comprei'],porto,vila nova de gaia,101-200,['apartamento'],['T4+'],"[1995, 2000)",portuguesa,20001-35000,1,0,['empregado-tempo-inteiro'],licenciatura,['muito-satisfeito'],,,,,,,147000.0,2023.0,bom,"['emprestimo', 'conjunto']",20001-35000,50001-80000,,,,
47,['outrem'],porto,vila nova de gaia,81-100,['moradia'],['T4+'],"[1960, 1965)",portuguesa,20001-35000,3,0,['independente'],licenciatura,['satisfeito'],,,,,,['outro'],,,,,,,,,,
48,['outrem'],lisboa,lisboa,81-100,['apartamento'],['T3'],"[1975, 1980)",portuguesa,<7001,1,1,['desempregada'],licenciatura,['insatisfeito'],,,,,,"['financeiramente-dependente', 'quero-independecia']",,,,,,,,,,
49,['arrendo'],lisboa,lisboa,21-40,['apartamento'],['T1'],"[1990, 1995)",portuguesa,20001-35000,0,1,['empregado-tempo-inteiro'],mestrado,['insatisfeito'],85,1400.0,2020.0,12001-20000,['sem-ajuda'],"['vivo-longe', 'habitacao-mau-estado', 'falta-espaco', 'pago-demasiado', 'dificuldades-financeiras', 'vivo-longe-de-transportes', 'vivo-zona-insegura']",,,,,,,,,,
50,['arrendo'],setúbal,almada,61-80,['apartamento'],['T2'],"[1990, 1995)",portuguesa,12001-20000,1,0,['empregado-tempo-inteiro'],licenciatura,['indiferente'],50,375.0,2022.0,20001-35000,['apoio-social'],"['vivo-longe', 'dificuldades-financeiras', 'pago-demasiado']",,,,,,,,,,
51,['comprei'],porto,maia,101-200,['apartamento'],['T4+'],"[1975, 1980)",portuguesa,20001-35000,2,1,['empregado-tempo-inteiro'],licenciatura,['muito-satisfeito'],,,,,,,250000.0,2006.0,raiz,['sem-ajuda'],20001-35000,,,,,
52,['arrendo'],lisboa,lisboa,61-80,['apartamento'],['T2'],"[1990, 1995)",portuguesa,>80001,0,0,['independente'],ensino-profissional,['indiferente'],10,2000.0,2019.0,>80001,['sem-ajuda'],"['habitacao-mau-estado', 'vivo-longe']",,,,,,,,,,
53,['comprei'],lisboa,lisboa,61-80,['apartamento'],['T2'],"[1990, 1995)",portuguesa,20001-35000,1,0,['empregado-tempo-inteiro'],mestrado,['satisfeito'],,,,,,['falta-espaco'],240000.0,2019.0,mau,"['emprestimo', 'apoio-familiar', 'conjunto']",12001-20000,20001-35000,,,,
54,['comprei'],porto,vila nova de gaia,101-200,['apartamento'],['T4+'],"[1975, 1980)",portuguesa,20001-35000,3,2,['empregado-tempo-inteiro'],licenciatura,['indiferente'],,,,,,['vivo-longe-de-transportes'],175.0,1999.0,raiz,['emprestimo'],12001-20000,,,,,
55,['comprei'],porto,santo tirso,81-100,['apartamento'],['T2'],"[1990, 1995)",portuguesa,35001-50000,1,1,"['empregado-tempo-inteiro', 'independente', 'estudante-tempo-integral']",mestrado,['satisfeito'],,,,,,"['pago-demasiado', 'falta-espaco']",170000.0,2023.0,recem-construido,"['emprestimo', 'apoio-familiar']",35001-50000,,,,,
56,['arrendo'],lisboa,lisboa,81-100,['apartamento'],['T3'],"[1985, 1990)",portuguesa,20001-35000,1,0,['empregado-tempo-inteiro'],mestrado,['satisfeito'],100,980.0,2021.0,12001-20000,['sem-ajuda'],['pago-demasiado'],,,,,,,,,,
57,['arrendo'],lisboa,lisboa,61-80,['apartamento'],['T2'],"[1995, 2000)",portuguesa,20001-35000,1,0,['empregado-tempo-inteiro'],mestrado,['satisfeito'],50,436.0,2022.0,12001-20000,['sem-ajuda'],"['vivo-longe', 'pago-demasiado']",,,,,,,,,,
58,['arrendo'],lisboa,lisboa,61-80,['apartamento'],['T2'],"[1975, 1980)",portuguesa,7001-12000,1,0,['empregado-tempo-inteiro'],mestrado,['muito-satisfeito'],50,375.0,2020.0,7001-12000,['apoio-familiar-inicio'],,,,,,,,,,,
59,['comprei'],porto,porto,61-80,['apartamento'],['T1'],"[1965, 1970)",portuguesa,12001-20000,1,0,['empregado-tempo-inteiro'],licenciatura,['satisfeito'],,,,,,['outro'],75000.0,1997.0,raiz,['emprestimo'],12001-20000,,,,,
60,['arrendo'],lisboa,odivelas,61-80,['apartamento'],['T1'],"[2000, 2005)",portuguesa,12001-20000,1,0,['empregado-tempo-inteiro'],mestrado,['insatisfeito'],50,475.0,2023.0,12001-20000,['sem-ajuda'],"['habitacao-mau-estado', 'falta-espaco', 'vivo-longe']",,,,,,,,,,
61,['arrendo'],porto,vila nova de gaia,61-80,['apartamento'],['T2'],"[1975, 1980)",portuguesa,12001-20000,1,0,['empregado-tempo-inteiro'],licenciatura,['satisfeito'],100,545.0,2012.0,7001-12000,['sem-ajuda'],['outro'],,,,,,,,,,
62,['arrendo'],lisboa,loures,101-200,['apartamento'],['T3'],"[1975, 1980)",nao_portuguesa,35001-50000,0,2,['contrato-temporario'],licenciatura,['indiferente'],100,1500.0,2023.0,35001-50000,['outra'],"['pago-demasiado', 'financeiramente-dependente']",,,,,,,,,,
63,['arrendo'],lisboa,lisboa,41-60,['apartamento'],['T1'],"[1985, 1990)",nao_portuguesa,20001-35000,0,0,['empregado-tempo-inteiro'],mestrado,['muito-insatisfeito'],100,802.0,2022.0,20001-35000,['sem-ajuda'],"['falta-espaco', 'pago-demasiado', 'outro']",,,,,,,,,,
64,['arrendo'],aveiro,aveiro,41-60,['apartamento'],['T3'],"[1985, 1990)",nao_portuguesa,12001-20000,1,0,['contrato-temporario'],doutoramento,['indiferente'],50,230.0,2018.0,<7001,['apoio-familiar-inicio'],"['habitacao-mau-estado', 'pago-demasiado']",,,,,,,,,,
65,['arrendo'],lisboa,amadora,81-100,['apartamento'],['T3'],"[1960, 1965)",portuguesa,20001-35000,0,1,['empregado-tempo-inteiro'],secundario,['muito-insatisfeito'],100,600.0,2019.0,20001-35000,['apoio-familiar-inicio'],"['habitacao-mau-estado', 'pago-demasiado', 'dificuldades-financeiras']",,,,,,,,,,
66,['arrendo'],aveiro,aveiro,61-80,['apartamento'],['T1'],"[1995, 2000)",nao_portuguesa,7001-12000,1,0,['estudante-tempo-integral'],doutoramento,['muito-insatisfeito'],100,450.0,2021.0,7001-12000,['sem-ajuda'],['pago-demasiado'],,,,,,,,,,
67,['outrem'],aveiro,santa maria da feira,101-200,['moradia'],['T4+'],"[1995, 2000)",portuguesa,35001-50000,3,0,['empregado-tempo-inteiro'],licenciatura,['satisfeito'],,,,,,"['vivo-longe', 'vivo-longe-de-transportes', 'quero-independecia', 'outro']",,,,,,,,,,
68,['comprei'],porto,matosinhos,81-100,['apartamento'],['T2'],"[1995, 2000)",portuguesa,20001-35000,1,0,['empregado-tempo-inteiro'],licenciatura,['satisfeito'],,,,,,"['vivo-longe-de-transportes', 'outro']",150000.0,2022.0,bom,"['conjunto', 'emprestimo']",20001-35000,35001-50000,,,,
69,['comprei'],porto,gondomar,81-100,['apartamento'],['T2'],"[1990, 1995)",portuguesa,20001-35000,1,1,"['empregado-tempo-inteiro', 'independente']",licenciatura,['satisfeito'],,,,,,"['pago-demasiado', 'dificuldades-financeiras']",116000.0,2019.0,execelente,['emprestimo'],20001-35000,,,,,
70,['arrendo'],aveiro,aveiro,61-80,['apartamento'],['T1'],"[1980, 1985)",nao_portuguesa,7001-12000,1,2,['independente'],mestrado,['muito-insatisfeito'],45,650.0,2021.0,7001-12000,['apoio-social'],"['pago-demasiado', 'financeiramente-dependente', 'dificuldades-financeiras']",,,,,,,,,,
71,['arrendo'],aveiro,aveiro,41-60,['apartamento'],['T1'],"[1990, 1995)",nao_portuguesa,12001-20000,1,0,['empregado-tempo-inteiro'],doutoramento,['satisfeito'],50,225.0,2021.0,<7001,['sem-ajuda'],['falta-espaco'],,,,,,,,,,
72,['comprei'],braga,braga,201-400,['moradia'],['T3'],"[1970, 1975)",portuguesa,20001-35000,1,3,['empregado-tempo-inteiro'],mestrado,['muito-satisfeito'],,,,,,,265000.0,2009.0,raiz,['emprestimo'],12001-20000,,,,,
73,['outrem'],aveiro,aveiro,21-40,['apartamento'],['T1'],"[1990, 1995)",nao_portuguesa,<7001,0,1,['estudante-tempo-integral'],mestrado,['indiferente'],,,,,,['quero-independecia'],,,,,,,,,,
74,['comprei'],porto,porto,101-200,['apartamento'],['T3'],"[1960, 1965)",portuguesa,50001-80000,0,1,['empregado-tempo-inteiro'],licenciatura,['muito-satisfeito'],,,,,,,126.0,1998.0,medio,['emprestimo'],20001-35000,,,,,
75,['comprei'],porto,matosinhos,81-100,['apartamento'],['T2'],"[1980, 1985)",portuguesa,20001-35000,0,0,['empregado-tempo-inteiro'],mestrado,['muito-satisfeito'],,,,,,,250000.0,2023.0,bom,['apoio-familiar'],20001-35000,,,,,
76,['comprei'],aveiro,arouca,81-100,['moradia'],['T3'],"[1965, 1970)",portuguesa,7001-12000,1,0,['empregado-tempo-inteiro'],secundario,['muito-satisfeito'],,,,,,,22500.0,1997.0,mau,['trabalho-estrangeiro'],12001-20000,,,,,
77,['outrem'],porto,vila nova de gaia,101-200,['moradia'],['T3'],"[1995, 2000)",portuguesa,12001-20000,3,1,['empregado-tempo-inteiro'],mestrado,['indiferente'],,,,,,"['vivo-longe', 'vivo-longe-de-transportes', 'quero-independecia']",,,,,,,,,,
78,['comprei'],lisboa,lisboa,101-200,['apartamento'],['T4+'],"[1980, 1985)",portuguesa,50001-80000,2,3,['empregado-tempo-inteiro'],licenciatura,['muito-satisfeito'],,,,,,,370000.0,2019.0,execelente,['emprestimo'],50001-80000,,,,,
79,['arrendo'],porto,porto,41-60,['apartamento'],['T1'],"[1995, 2000)",portuguesa,20001-35000,1,0,['empregado-tempo-inteiro'],mestrado,['muito-satisfeito'],50,325.0,2022.0,20001-35000,['sem-ajuda'],,,,,,,,,,,
80,['comprei'],porto,valongo,101-200,['apartamento'],['T2'],"[1975, 1980)",portuguesa,12001-20000,1,2,['outro'],licenciatura,['indiferente'],,,,,,['falta-espaco'],126000.0,2008.0,recem-construido,"['emprestimo', 'conjunto']",7001-12000,20001-35000,,,,
81,['comprei'],castelo branco,castelo branco,201-400,['moradia'],['T3'],"[1990, 1995)",portuguesa,35001-50000,1,0,['empregado-tempo-inteiro'],mestrado,['muito-satisfeito'],,,,,,[],175000.0,2024.0,bom,"['emprestimo', 'apoio-familiar', 'conjunto']",20001-35000,20001-35000,,,,
82,['arrendo'],lisboa,lisboa,61-80,['apartamento'],['T3'],"[1995, 2000)",portuguesa,12001-20000,2,0,['empregado-tempo-inteiro'],mestrado,['satisfeito'],30,250.0,2023.0,12001-20000,['sem-ajuda'],['falta-espaco'],,,,,,,,,,
83,['comprei'],porto,vila nova de gaia,101-200,['apartamento'],['T2'],"[1995, 2000)",portuguesa,35001-50000,0,0,['empregado-tempo-inteiro'],mestrado,['muito-satisfeito'],,,,,,,250000.0,2023.0,execelente,"['emprestimo', 'apoio-familiar']",35001-50000,,,,,
84,['arrendo'],aveiro,aveiro,61-80,['moradia'],['T3'],"[1990, 1995)",nao_portuguesa,7001-12000,1,0,['empregado-tempo-inteiro'],mestrado,['indiferente'],50,320.0,2022.0,<7001,"['apoio-familiar-inicio', 'apoio-familiar-actualmente']","['pago-demasiado', 'dificuldades-financeiras', 'vivo-longe-de-transportes']",,,,,,,,,,
85,['comprei'],porto,valongo,101-200,['apartamento'],['T2'],"[1975, 1980)",portuguesa,20001-35000,1,1,['empregado-tempo-inteiro'],mestrado,['satisfeito'],,,,,,['falta-espaco'],165000.0,2022.0,bom,['emprestimo'],20001-35000,,,,,
86,['herdei'],aveiro,aveiro,81-100,['apartamento'],['T2'],"[1990, 1995)",nao_portuguesa,50001-80000,0,0,"['empregado-tempo-inteiro', 'estudante-tempo-integral']",mestrado,['muito-insatisfeito'],,,,,,"['vivo-zona-insegura', 'partilho-casa-com-desconhecidos', 'quero-independecia', 'vivo-longe-de-transportes', 'financeiramente-dependente', 'dificuldades-financeiras', 'pago-demasiado']",,,,,,,2021.0,50001-80000,50001-80000,execelente
87,['comprei'],porto,porto,61-80,['apartamento'],['T2'],"[1995, 2000)",portuguesa,35001-50000,0,0,['empregado-tempo-inteiro'],mestrado,['muito-satisfeito'],,,,,,,145000.0,2022.0,medio,"['emprestimo', 'apoio-familiar']",20001-35000,,,,,
88,['arrendo'],lisboa,oeiras,101-200,['apartamento'],['T3'],"[1980, 1985)",portuguesa,>80001,1,2,['outro'],mestrado,['muito-satisfeito'],100,1100.0,2021.0,35001-50000,['sem-ajuda'],,,,,,,,,,,
89,['comprei'],porto,porto,41-60,['apartamento'],['T2'],"[1985, 1990)",portuguesa,20001-35000,1,0,['empregado-tempo-inteiro'],mestrado,['satisfeito'],,,,,,"['falta-espaco', 'pago-demasiado']",150000.0,2021.0,raiz,['emprestimo'],12001-20000,,,,,
90,['arrendo'],lisboa,lisboa,201-400,['apartamento'],['T4+'],"[1970, 1975)",portuguesa,>80001,3,4,['empregado-tempo-inteiro'],mestrado,['muito-satisfeito'],100,2050.0,2023.0,50001-80000,['sem-ajuda'],,,,,,,,,,,
91,['arrendo'],lisboa,lisboa,41-60,['apartamento'],['T1'],"[1995, 2000)",portuguesa,20001-35000,1,0,['empregado-tempo-inteiro'],mestrado,['muito-satisfeito'],45,450.0,2024.0,20001-35000,['sem-ajuda'],,,,,,,,,,,
92,['outrem'],porto,matosinhos,201-400,['moradia'],['T4+'],"[1985, 1990)",portuguesa,7001-12000,3,1,['independente'],licenciatura,['insatisfeito'],,,,,,"['quero-independecia', 'financeiramente-dependente']",,,,,,,,,,
